"datum","datensatz_id","publisher","datensatz_titel","anzahl_klicks","anzahl_besuchende"
"2024-08-27",1141,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich",2,2
"2024-08-27",129,"statistisches-amt-kanton-zuerich","Zürcher Finanzausgleich",1,1
"2024-08-27",1301,"fachstelle-ogd-kanton-zuerich","Bestandsdaten zum Kanton Zürich aus dem Zentralen Firmenindex (Zefix) des Bundes",2,1
"2024-08-27",1462,"statistisches-amt-kanton-zuerich","Unbezahlte Arbeit im Kanton Zürich",1,1
"2024-08-27",1642,"bildungsstatistik-kanton-zuerich","Lernende der Berufsbildung im Kanton Zürich ab 2000",1,1
"2024-08-27",1742,"statistisches-amt-kanton-zuerich","Tagesregistereinträge zum Kanton Zürich und der Schweiz aus dem Zentralen Firmenindex (Zefix) des Bundes",4,1
"2024-08-27",1802,"are-kanton-zuerich","Geschossflächen im Kanton Zürich",2,1
"2024-08-27",1803,"awel-kanton-zuerich","Abfallmengen und Abfallgebühren in den Gemeinden im Kanton Zürich ab 2000",2,1
"2024-08-27",1862,"statistisches-amt-kanton-zuerich","Bodenversiegelung im Kanton Zürich",1,1
"2024-08-27",1882,"statistisches-amt-kanton-zuerich","Dokumentation zur Bevölkerungsprognose für den Kanton Zürich",1,1
"2024-08-27",1902,"statistisches-amt-kanton-zuerich","Politische Profile veränderter Wahlzettel",1,1
"2024-08-27",1922,"statistisches-amt-kanton-zuerich","Aus- und Einzugsmieten im Kanton Zürich",1,1
"2024-08-27",2062,"statistisches-amt-kanton-zuerich","Parteienlandschaft in Bewegung",1,1
"2024-08-27",2143,"statistisches-amt-kanton-zuerich","Regierungsratswahl im Zeichen der Stabilität",1,1
"2024-08-27",2262,"statistisches-amt-kanton-zuerich","Photovoltaik im Kanton Zürich",1,1
"2024-08-27",2302,"statistisches-amt-kanton-zuerich","Kandidierende und Listenverbindungen Nationalratswahl 2023",3,1
"2024-08-27",2322,"statistisches-amt-kanton-zuerich","Betriebslandschaft im Kanton Zürich mit dem Bestand und den Umzügen nach Branchen, Gemeinden und anderen Kantonen",1,1
"2024-08-27",2342,"statistisches-amt-kanton-zuerich","Mobilitätsverhalten der Zürcher Bevölkerung",1,1
"2024-08-27",2383,"awel-kanton-zuerich","Messdaten zu ultrafeinen Partikeln in Kloten: Anzahl-Grössenverteilungen, Luftschadstoffe und Meteorologie",4,2
"2024-08-27",2483,"statistisches-amt-kanton-zuerich","Kantonsratswahlen: Wähleranteil Übrige [%]",1,1
"2024-08-27",2522,"statistisches-amt-kanton-zuerich","Web Analytics des Datenkatalogs des Kantons Zürich",1,1
"2024-08-27",254,"statistisches-amt-kanton-zuerich","Bevölkerung nach Gemeinde, Heimat, Geschlecht und Alter ab 2010",2,2
"2024-08-27",2562,"statistisches-amt-kanton-zuerich","Wärmebelastung der Bevölkerung im Kanton Zürich",1,1
"2024-08-27",2563,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Heimat und Herkunft",1,1
"2024-08-27",2564,"stadt-winterthur","Bevölkerung der Stadt Winterthur, nach Staatenkleingruppe",4,1
"2024-08-27",2622,"are-kanton-zuerich","Nutzungsdichte im Kanton Zürich",4,1
"2024-08-27",264,"statistisches-amt-kanton-zuerich","Babyboomer nicht mehr stärkste Jahrgänge",2,1
"2024-08-27",2644,"statistisches-amt-kanton-zuerich","Zwei Jahre Schutzstatus S im Kanton Zürich",1,1
"2024-08-27",2683,"awel-kanton-zuerich","Treibhausgasemissionen im Kanton Zürich",2,1
"2024-08-27",270,"statistisches-amt-kanton-zuerich","Zürcher Immobilienhandel",1,1
"2024-08-27",38,"statistisches-amt-kanton-zuerich","Bevölkerung nach Heimat und Geschlecht",1,1
"2024-08-27",416,"statistisches-amt-kanton-zuerich","Abfallstatistik heute und morgen",1,1
"2024-08-27",440,"statistisches-amt-kanton-zuerich","Bildungsvergleich: Wie die Eltern, so die Kinder",1,1
"2024-08-27",5,"statistisches-amt-kanton-zuerich","Gemeindesteuern der Zürcher Gemeinden",1,1
"2024-08-27",503,"staatsarchiv-kanton-zuerich","Archivinformationssystem des Staatsarchivs des Kantons Zürich",1,1
"2024-08-27",548,"statistisches-amt-kanton-zuerich","Boden- und Immobilienpreise im Jahr 2007",1,1
"2024-08-27",615,"statistisches-amt-kanton-zuerich","Fremdsprachen und Zuwanderung",1,1
"2024-08-27",712,"staatsarchiv-kanton-zuerich","Erlasse der Zürcher Gesetzessammlung ab 1803",2,1
"2024-08-27",734,"statistisches-amt-kanton-zuerich","Echtzeitdaten am Abstimmungstag – kommunale und regionale Vorlagen",1,1
"2024-08-27",76,"statistisches-amt-kanton-zuerich","Einkommensverteilung",1,1
"2024-08-26",1,"statistisches-amt-kanton-zuerich","Kapitaldienstanteil [%]",1,1
"2024-08-26",1080,"fachstelle-ogd-kanton-zuerich","Unterlagen und Protokolle des Fachausschusses für offene Behördendaten des Kantons Zürich",2,1
"2024-08-26",1141,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich",5,4
"2024-08-26",1143,"statistisches-amt-kanton-zuerich","Bevölkerungsbestand und -wachstum des Kantons Zürich nach Nationalität",4,3
"2024-08-26",124,"statistisches-amt-kanton-zuerich","Statistisches Jahrbuch des Kantons Zürich",1,1
